	locale	id_specialization	name	description	description_after	medical_dictionary	tokens
1	en-US	1	Laser 			"<p>The laser is a very intense light that can generate very definite effects when reacted with somewhere in the environment. Converts electrical energy into sources of high performance in very specific tasks. Therefore, in medicine it has been applied since almost the beginning of his invention and its future is very promising in all areas of diagnostic and therapeutic.</p>
"	['laser', 'veri', 'intens', 'light', 'gener', 'veri', 'definit', 'effect', 'react', 'somewher', 'environ', 'convert', 'electr', 'energi', 'sourc', 'high', 'perform', 'veri', 'specif', 'task', 'therefor', 'medicin', 'ha', 'appli', 'sinc', 'almost', 'begin', 'hi', 'invent', 'futur', 'veri', 'promis', 'area', 'diagnost', 'therapeut']
5	en-US	2	Nutrition 			"<div data-dobid=""dfn"" style=""color: rgb(34, 34, 34); font-family: arial, sans-serif-light, sans-serif; font-size: small; line-height: 15.6000003814697px; display: inline;"">Set of processes, customs, etc., related to human consumption. Nutrition is the biological process in which organisms assimilate food and fluids necessary for operation, growth and maintenance of their vital functions. Nutrition is the study of the relationship between food and health, especially in the determination of a diet.</div>
"	['set', 'process', 'custom', 'relat', 'human', 'consumpt', 'nutrit', 'biolog', 'process', 'organ', 'assimil', 'food', 'fluid', 'necessari', 'oper', 'growth', 'mainten', 'vital', 'function', 'nutrit', 'studi', 'relationship', 'food', 'health', 'especi', 'determin', 'diet']
9	en-US	3	Microdermoabrasion			"<p>&nbsp;</p>

<p>Microdermabrasion is a skin rejuvenation treatment consisting of exfoliation of noninvasive and painless made with diamond tips, in order to remove dead cells, impurities and surface wrinkles. This technique allows polishing micropeeling gradually promoting skin collagen production, which provide softness to the skin and facilitates cell regeneration. Moreover, it is less aggressive than a superficial peel and provides more immediate results, smoothing lines and wrinkles, acne scars and removing stains caused by the sun, and reducing pores and blackheads. However, depending on the patient, it is required to apply this treatment in several sessions to get the desired results.</p>
"	['microdermabras', 'skin', 'rejuven', 'treatment', 'consist', 'exfoli', 'noninvas', 'painless', 'made', 'diamond', 'tip', 'order', 'remov', 'dead', 'cell', 'impur', 'surfac', 'wrinkl', 'thi', 'techniqu', 'allow', 'polish', 'micropeel', 'gradual', 'promot', 'skin', 'collagen', 'product', 'provid', 'soft', 'skin', 'facilit', 'cell', 'regener', 'moreov', 'less', 'aggress', 'superfici', 'peel', 'provid', 'immedi', 'result', 'smooth', 'line', 'wrinkl', 'acn', 'scar', 'remov', 'stain', 'caus', 'sun', 'reduc', 'pore', 'blackhead', 'howev', 'depend', 'patient', 'requir', 'appli', 'thi', 'treatment', 'sever', 'session', 'get', 'desir', 'result']
12	en-US	1188	Abdominal MRI			"<p>Abdominal MRI is a diagnostic test that is used to create images of the abdominal area. Radiation (X-rays) is used.</p>

<p>&nbsp;</p>
"	['abdomin', 'mri', 'diagnost', 'test', 'use', 'creat', 'imag', 'abdomin', 'area', 'radiat', 'use']
14	en-US	4	Inductors natural collagen 			"<p> It is the recall of Effect V. The volumizing treatment and inducer of natural collagen-based calcium hydroxyapatite is to recover in a natural way, without going through surgery, the optimal distribution of facial volume. Thus achieve a more youthful appearance getting a facelift unprecedented effect. The results are very natural, immediate and last up to a year after injection. <span style=""line-height: 23.1111px;"">The inductor treatment of natural collagen is intended to correct imperfections and improve skin smoothness, recover the so-called &quot;V effect&quot; on the face and to mold the contour and volume of the figure. This treatment is done through a technique punctures natural collagen-based calcium hydroxyapatite in areas with sagging. Before starting treatment, a topical anesthetic is applied to avoid any inconvenience this may cause punctures in sensitive areas. Normally, two or three sessions are required to achieve the objective, and is advisable to leave a period of about four or five weeks between each session. The effect is usually immediate and very satisfying, although the final result is observed after about two or three months and lasts until one year after treatment.</span> </p>"	['It', 'recal', 'effect', 'volum', 'treatment', 'induc', 'natur', 'calcium', 'hydroxyapatit', 'recov', 'natur', 'way', 'without', 'go', 'surgeri', 'optim', 'distribut', 'facial', 'volum', 'thu', 'achiev', 'youth', 'appear', 'get', 'facelift', 'unpreced', 'effect', 'result', 'veri', 'natur', 'immedi', 'last', 'year', 'inject', 'inductor', 'treatment', 'natur', 'collagen', 'intend', 'correct', 'imperfect', 'improv', 'skin', 'smooth', 'recov', 'V', 'effect', 'face', 'mold', 'contour', 'volum', 'figur', 'thi', 'treatment', 'done', 'techniqu', 'punctur', 'natur', 'calcium', 'hydroxyapatit', 'area', 'sag', 'befor', 'start', 'treatment', 'topic', 'anesthet', 'appli', 'avoid', 'ani', 'inconveni', 'thi', 'may', 'caus', 'punctur', 'sensit', 'area', 'normal', 'two', 'three', 'session', 'requir', 'achiev', 'object', 'advis', 'leav', 'period', 'four', 'five', 'week', 'session', 'effect', 'usual', 'immedi', 'veri', 'satisfi', 'although', 'final', 'result', 'observ', 'two', 'three', 'month', 'last', 'one', 'year', 'treatment']
18	en-US	5	Bio-stimulation with platelet-rich plasma			"<p>The PRP is a cosmetic treatment that pursues rejuvenating facial skin, especially between the eyebrows, in the crow&#39;s feet or the area between the nose and lips. This technique involves the extraction of plasma from the patient, obtained from a blood sample, is injected into the desired area for achieving the cell tissue regeneration and combat the signs of aging. Thanks to treatment with platelet-rich plasma, the skin regains its firmness and smoothness and fine lines on the face are reduced. Currently, platelet bio-stimulation is also used for other treatments, such as correction of stretch marks, since using the patient&#39;s own plasma there is no risk of rejection of the substance and a good result is guaranteed.</p>
"	['prp', 'cosmet', 'treatment', 'pursu', 'rejuven', 'facial', 'skin', 'especi', 'eyebrow', 'crow', 'feet', 'area', 'nose', 'lip', 'thi', 'techniqu', 'involv', 'extract', 'plasma', 'patient', 'obtain', 'blood', 'sampl', 'inject', 'desir', 'area', 'achiev', 'cell', 'tissu', 'regener', 'combat', 'sign', 'age', 'thank', 'treatment', 'plasma', 'skin', 'regain', 'firm', 'smooth', 'fine', 'line', 'face', 'reduc', 'current', 'platelet', 'also', 'use', 'treatment', 'correct', 'stretch', 'mark', 'sinc', 'use', 'patient', 'plasma', 'risk', 'reject', 'substanc', 'good', 'result', 'guarante']
23	en-US	6	Treatment of dark circles 			"<p>The antiojeras treatment is a technique based on the infiltration of collagen or hyaluronic acid which is applied to the area by injection. Given the delicacy of the area of ​​dark circles, it is a complex but little painful treatment, although you can use local or topical anesthesia to reduce patient discomfort. In addition, you can apply in both men and women of all ages raised Removing dark circles, and it is a very effective and satisfactory to beautify that area of ​​the face, correcting eye bags technique, sunken circles and marked giving a dull and exhausted to face. The results are immediately visible from the first session but to achieve the desired effect in some cases may require ongoing treatment handed out two to three sessions. Furthermore, depending on the patient and the amount of collagen or hyaluronic acid injected the result will take about time, being able to perform an improvement session once a year.</p>
"	['antiojera', 'treatment', 'techniqu', 'base', 'infiltr', 'collagen', 'hyaluron', 'acid', 'appli', 'area', 'inject', 'given', 'delicaci', 'area', 'circl', 'complex', 'littl', 'pain', 'treatment', 'although', 'use', 'local', 'topic', 'anesthesia', 'reduc', 'patient', 'discomfort', 'In', 'addit', 'appli', 'men', 'women', 'age', 'rais', 'remov', 'dark', 'circl', 'veri', 'effect', 'satisfactori', 'beautifi', 'area', 'face', 'correct', 'eye', 'bag', 'techniqu', 'sunken', 'circl', 'mark', 'give', 'dull', 'exhaust', 'face', 'result', 'immedi', 'visibl', 'first', 'session', 'achiev', 'desir', 'effect', 'case', 'may', 'requir', 'ongo', 'treatment', 'hand', 'two', 'three', 'session', 'furthermor', 'depend', 'patient', 'amount', 'collagen', 'hyaluron', 'acid', 'inject', 'result', 'take', 'time', 'abl', 'perform', 'improv', 'session', 'onc', 'year']
26	en-US	722	Chylothorax 			"<p>Chylothorax is the presence of lymphatic fluid in the pleural cavity, ie between the chest wall and the lung. A rare variant of pleural effusion is considered. It can be traumatic and non-traumatic, depending on the cause of chylothorax.</p>
"	['chylothorax', 'presenc', 'lymphat', 'fluid', 'pleural', 'caviti', 'ie', 'chest', 'wall', 'lung', 'A', 'rare', 'variant', 'pleural', 'effus', 'consid', 'It', 'traumat', 'depend', 'caus', 'chylothorax']
29	en-US	7	Facial Mesotherapy 			"<p>Facial Mesotherapy is a technique of facial rejuvenation. Through small injections it is supplied to the facial skin different principles as hyaluronic acid, vitamins, minerals, coenzymes, nucleic acids, etc.Combate aging, sagging and improve the skin hydration.</p>
"	['facial', 'mesotherapi', 'techniqu', 'facial', 'rejuven', 'small', 'inject', 'suppli', 'facial', 'skin', 'differ', 'principl', 'hyaluron', 'acid', 'vitamin', 'miner', 'coenzym', 'nucleic', 'acid', 'age', 'sag', 'improv', 'skin', 'hydrat']
33	en-US	8	Nose modeling			"<div>&nbsp;</div>

<div>The Rinomodelaci&oacute;n is a treatment that allows nose reshaping without surgery, correcting irregularities in the profile of both the ridge and the nose tip, depending on the specific needs of the patient. But keep in mind that not serving to correct any kind of nose as this treatment can not change the bone base, therefore not indicated for a very large nose and a very prominent ridge. For these cases, other types of nose jobs, like rhinoplasty, which is the nose surgery that corrects the functionality of the nasal appendage, and modify bone or cartilage structures for a new way to improve harmony facial. The Rinomodelaci&oacute;n is performed by microinjection of various fillers: if the nose is formed by applying hyaluronic acid in the precise points, the nine-month result since this substance is resorbable, so the treatment must be repeated; if a desired final result, microinjections Metacrill, a final product is applied.</div>
"	['rinomodelación', 'treatment', 'allow', 'nose', 'reshap', 'without', 'surgeri', 'correct', 'irregular', 'profil', 'ridg', 'nose', 'tip', 'depend', 'specif', 'need', 'patient', 'keep', 'mind', 'serv', 'correct', 'ani', 'kind', 'nose', 'thi', 'treatment', 'chang', 'bone', 'base', 'therefor', 'indic', 'veri', 'larg', 'nose', 'veri', 'promin', 'ridg', 'case', 'type', 'nose', 'job', 'like', 'rhinoplasti', 'nose', 'surgeri', 'correct', 'function', 'nasal', 'appendag', 'modifi', 'bone', 'cartilag', 'structur', 'new', 'way', 'improv', 'harmoni', 'facial', 'rinomodelación', 'perform', 'microinject', 'variou', 'filler', 'nose', 'form', 'appli', 'hyaluron', 'acid', 'precis', 'point', 'result', 'sinc', 'thi', 'substanc', 'resorb', 'treatment', 'must', 'repeat', 'desir', 'final', 'result', 'microinject', 'metacril', 'final', 'product', 'appli']
